Title,Release_Date,Rating,No_of_Persons_Voted,Directed_by,Duration,Genres
31,2016-10-21,6.4,34,Rob Zombie,1 h 42 m,Horror
Urban Legend,1998-09-25,8.1,207,Jamie Blanks,1 h 39 m,Horror
200 Cigarettes,1999-02-26,7.2,32,Risa Bramon Garcia,1 h 41 m,Comedy
The Expendables 3,2014-08-15,5.8,378,Patrick Hughes,2 h 6 m,Action
Turbo: A Power Rangers Movie,1997-03-28,5.2,18,"Shuki Levy 
    
      David Winning",1 h 39 m,Action
7 Minutes,2015-06-26,5.4,5,Jay Martin,1 h 32 m,Crime
Patrick,2019-02-15,6.3,11,Mark Hartley,1 h 36 m,Horror
The Desperate Hour,2022-02-25,4.3,10,Phillip Noyce,1 h 24 m,Thriller
Loosies,2012-01-11,6.3,8,Michael Corrente,1 h 28 m,Comedy
The Perfect Score,2004-01-30,6.5,20,Brian Robbins,1 h 33 m,Comedy
102 Dalmatians,2000-11-22,5.0,77,"Michael D Moore 
    
      Kevin Lima",1 h 40 m,Adventure
The Last Exorcism Part II,2013-03-01,3.7,62,Ed Gass-Donnelly,1 h 28 m,Horror
What's Your Number?,2011-09-30,5.6,74,Mark Mylod,1 h 46 m,Comedy
Mirrors,2008-08-15,7.5,157,Alexandre Aja,1 h 50 m,Horror
Hitman,2007-11-21,6.0,192,Xavier Gens,1 h 40 m,Action
Family Weekend,2013-03-29,3.7,13,Benjamin Epps,1 h 45 m,Comedy
Lullaby,2014-06-13,5.6,5,Andrew Levitas,1 h 57 m,Drama
Primeval,2007-01-12,6.9,18,Michael Katleman,1 h 33 m,Action
Happy Tears,2010-02-19,6.1,9,Mitchell Lichtenstein,1 h 35 m,Comedy
Proud Mary,2018-01-12,4.6,37,Babak Najafi,1 h 29 m,Action
The Last Thing He Wanted,2020-02-14,3.3,27,Dee Rees,1 h 55 m,Crime
Loser,2000-07-21,8.3,206,Amy Heckerling,1 h 38 m,Comedy
Friday After Next,2002-11-22,4.8,34,Marcus Raboy,1 h 25 m,Comedy
Super Mario Bros.,1993-05-28,4.6,63,"Annabel Jankel 
    
      Rocky Morton",1 h 44 m,Adventure
Ghost Rider,2007-02-16,3.5,426,Mark Steven Johnson,1 h 54 m,Action
Kingsglaive: Final Fantasy XV,2016-08-19,8.4,655,Takeshi Nozue,1 h 50 m,Animation
Java Heat,2013-05-10,4.7,11,Conor Allyn,1 h 44 m,Action
Beyond a Reasonable Doubt,2009-09-11,6.7,12,Peter Hyams,1 h 46 m,Crime
Yogi Bear,2010-12-17,4.6,108,Eric Brevig,1 h 20 m,Animation
Sphere,1998-02-13,7.6,93,Barry Levinson,2 h 14 m,Action
Rebel Moon Part 2: The Scargiver,2024-04-19,4.5,242,Zack Snyder,2 h 2 m,Action
The First Power,1990-04-06,7.9,7,Robert Resnikoff,1 h 38 m,Crime
I Spy,2002-11-01,3.6,64,Betty Thomas,1 h 37 m,Action
Diablo,2016-01-08,2.1,23,Lawrence Roeck,1 h 30 m,Action
The Wedding Ringer,2015-01-16,3.3,190,Jeremy Garelick,1 h 41 m,Comedy
Escape from Planet Earth,2013-02-15,5.3,80,Cal Brunker,1 h 29 m,Animation
Diana,2013-11-01,4.0,50,Oliver Hirschbiegel,1 h 53 m,Biography
The Binge,2020-08-28,2.9,11,Jeremy Garelick,1 h 38 m,Comedy
Hannibal Rising,2007-02-09,5.3,92,Peter Webber,2 h 1 m,Adventure
Freejack,1992-01-17,4.8,4,Geoff Murphy,1 h 50 m,Action
Self/less,2015-07-10,8.1,442,Tarsem Singh,1 h 57 m,Action
The Other Man,2009-09-11,4.9,15,Richard Eyre,1 h 28 m,Drama
Red Planet,2000-11-10,8.3,148,Antony Hoffman,1 h 46 m,Action
Mission to Mars,2000-03-10,5.7,66,Brian De Palma,1 h 54 m,Adventure
The Glass House,2001-09-14,2.2,68,Daniel Sackheim,1 h 46 m,Crime
Bewitched,2005-06-24,5.0,64,Nora Ephron,1 h 42 m,Comedy
The Back-up Plan,2010-04-23,8.4,150,Alan Poul,1 h 46 m,Comedy
Harold and the Purple Crayon,2024-08-02,3.7,15,Carlos Saldanha,1 h 32 m,Animation
The Assignment,2017-04-07,6.2,11,Walter Hill,1 h 35 m,Action
Keeping Up with the Joneses,2016-10-21,7.4,166,Greg Mottola,1 h 45 m,Action
A Long Way Down,2014-07-11,6.3,30,Pascal Chaumeil,1 h 36 m,Comedy
The Messengers,2007-02-02,6.0,41,"Danny Pang 
    
      Oxide Chun Pang",1 h 30 m,Drama
Twice Born,2013-12-06,7.4,11,Sergio Castellitto,2 h 7 m,Drama
A Fall from Grace,2020-01-17,4.9,16,Tyler Perry,2 h,Crime
The Forest,2016-01-08,6.6,211,Jason Zada,1 h 33 m,Horror
Bitter Harvest,2017-02-24,6.8,17,George Mendeluk,1 h 43 m,Drama
Ghosts of Girlfriends Past,2009-05-01,8.4,120,Mark Waters,1 h 40 m,Comedy
Copperhead,2013-06-28,2.8,11,Ron Maxwell,2 h,Drama
On the Line,2001-10-26,5.5,10,Eric Bross,1 h 25 m,Comedy
Tamara,2006-02-03,5.9,25,Jeremy Haft,1 h 38 m,Drama
My Life in Ruins,2009-06-05,7.8,14,Donald Petrie,1 h 35 m,Comedy
The Happening,2008-06-13,6.1,370,M. Night Shyamalan,1 h 31 m,Adventure
Aloft,2015-05-22,4.4,13,Claudia Llosa,1 h 52 m,Drama
The Dark Tower,2017-08-04,4.5,402,Nikolaj Arcel,1 h 35 m,Action
The Last Witch Hunter,2015-10-23,6.4,274,Breck Eisner,1 h 46 m,Action
Sleepless,2017-01-13,4.5,48,Baran bo Odar,1 h 35 m,Action
The War with Grandpa,2020-10-09,5.3,55,Tim Hill,1 h 34 m,Comedy
"Berlin, I Love You",2019-02-08,1.6,5,"Dianna Agron 
    
      Peter Chelsom 
    
      Claus Clausen 
    
      Fernando Eimbcke",2 h,Drama
DeepStar Six,1989-01-13,7.5,6,Sean S. Cunningham,1 h 45 m,Action
Dead or Alive: Final,2002-11-29,5.2,9,Takashi Miike,1 h 29 m,Action
Major Payne,1995-03-24,7.4,17,Nick Castle,1 h 35 m,Adventure
15 Minutes,2001-03-09,6.1,37,John Herzfeld,2 h,Action
The Haunted Mansion,2003-11-26,6.2,48,Rob Minkoff,1 h 28 m,Comedy
Street Fighter,1994-12-23,4.5,15,Steven E. de Souza,1 h 42 m,Action
Get Hard,2015-03-27,4.4,236,Etan Cohen,1 h 40 m,Comedy
Law Abiding Citizen,2009-10-16,7.0,262,F. Gary Gray,1 h 48 m,Action
Ghosted,2023-04-21,4.5,82,Dexter Fletcher,1 h 56 m,Action
Demolition Man,1993-10-08,8.2,412,Marco Brambilla,1 h 55 m,Action
Friday the 13th,2009-02-13,6.6,300,Marcus Nispel,1 h 37 m,Horror
Friday the 13th,1980-05-09,6.6,300,Marcus Nispel,1 h 37 m,Horror
The Late Bloomer,2016-10-07,3.7,6,Kevin Pollak,1 h 30 m,Comedy
Beyond the Reach,2015-04-17,4.8,27,Jean-Baptiste Léonetti,1 h 31 m,Action
Vanguard,2020-11-20,9.3,106,Stanley Tong,1 h 47 m,Action
Ghost Rider: Spirit of Vengeance,2012-02-17,4.2,395,"Mark Neveldine 
    
      Brian Taylor",1 h 35 m,Action
Thunder Force,2021-04-09,3.1,116,Ben Falcone,1 h 45 m,Action
Year One,2009-06-19,5.0,124,Harold Ramis,1 h 37 m,Comedy
Motherhood,2009-10-23,7.2,17,Katherine Dieckmann,1 h 30 m,Comedy
Fireflies in the Garden,2011-10-14,7.5,13,Dennis Lee,2 h,Drama
The Longest Week,2014-09-05,5.0,8,Peter Glanz,1 h 26 m,Comedy
Halloween 4: The Return of Michael Myers,1988-10-21,7.8,284,Dwight H. Little,1 h 28 m,Horror
Scooby Doo 2: Monsters Unleashed,2004-03-26,5.4,133,Raja Gosnell,1 h 33 m,Adventure
The Ledge,2011-07-08,5.7,36,Matthew Chapman,1 h 41 m,Drama
Doom,2005-10-21,4.8,201,Andrzej Bartkowiak,1 h 40 m,Action
The Smurfs 2,2013-07-31,3.8,172,Raja Gosnell,1 h 45 m,Animation
Alice Through the Looking Glass,2016-05-27,5.9,369,James Bobin,1 h 53 m,Adventure
The Man from Toronto,2022-06-24,4.8,49,Patrick Hughes,1 h 50 m,Action
Jingle All the Way,1996-11-22,7.2,85,Brian Levant,1 h 29 m,Adventure
Men at Work,1990-08-24,5.6,5,Emilio Estevez,1 h 38 m,Action
Thr3e,2007-01-05,5.7,7,Robby Henson,1 h 41 m,Horror
The Fourth Kind,2009-11-06,6.2,81,Olatunde Osunsanmi,1 h 38 m,Horror
Imaginary,2024-03-08,5.0,53,Jeff Wadlow,1 h 44 m,Horror
Mother's Day,2012-05-04,6.2,25,Darren Lynn Bousman,1 h 52 m,Drama
Mother's Day,2016-04-29,6.2,25,Darren Lynn Bousman,1 h 52 m,Drama
Amityville II: The Possession,1982-09-24,5.6,10,Damiano Damiani,1 h 44 m,Horror
Baggage Claim,2013-09-27,4.5,22,David E. Talbert,1 h 36 m,Comedy
End of Days,1999-11-24,7.9,185,Peter Hyams,2 h 1 m,Action
Testosterone,2004-09-10,7.2,5,David Moreton,1 h 45 m,Comedy
The Possession of Michael King,2014-08-22,4.6,20,David Jung,1 h 23 m,Horror
Cheaper by the Dozen 2,2005-12-21,5.8,55,Adam Shankman,1 h 34 m,Adventure
The Black Stallion Returns,1983-03-25,4.7,14,Robert Dalva,1 h 43 m,Adventure
Lake Placid,1999-07-16,5.2,78,Steve Miner,1 h 22 m,Action
Death Warrant,1990-09-14,5.3,7,Deran Sarafian,1 h 29 m,Action
Texas Chainsaw Massacre,2022-02-18,4.3,165,David Blue Garcia,1 h 21 m,Crime
Bringing Up Bobby,2012-09-28,5.2,9,Famke Janssen,1 h 33 m,Comedy
Ninja Assassin,2009-11-25,6.9,119,James McTeigue,1 h 39 m,Action
Addicted to Fresno,2015-10-02,4.5,4,Jamie Babbit,1 h 25 m,Comedy
Yakuza Princess,2021-09-03,4.1,8,Vicente Amorim,1 h 52 m,Thriller
My All American,2015-11-13,6.4,15,Angelo Pizzo,1 h 58 m,Biography
Devil's Due,2014-01-17,2.7,75,"Matt Bettinelli-Olpin 
    
      Tyler Gillett",1 h 29 m,Horror
Isn't She Great,2000-01-28,2.5,4,Andrew Bergman,1 h 35 m,Biography
Kings,2018-04-27,3.4,7,Deniz Gamze Ergüven,1 h 32 m,Crime
Chelsea Walls,2002-04-19,6.3,4,Ethan Hawke,1 h 49 m,Drama
The Keep,1983-12-16,5.2,13,Michael Mann,1 h 36 m,Drama
Irreplaceable You,2018-02-16,5.1,8,Stephanie Laing,1 h 36 m,Comedy
Secret Society of Second Born Royals,2020-09-25,3.4,9,Anna Mastro,1 h 36 m,Action
ATM,2012-04-06,5.4,45,David Brooks,1 h 30 m,Horror
Basic,2003-03-28,7.3,50,John McTiernan,1 h 38 m,Action
Even Money,2007-05-18,5.8,4,Mark Rydell,1 h 53 m,Crime
Excess Baggage,1997-08-29,5.7,7,Marco Brambilla,1 h 41 m,Action
Dead Silence,2007-03-16,6.1,108,James Wan,1 h 29 m,Horror
Hellions,2015-09-18,4.4,10,Bruce McDonald,1 h 20 m,Drama
Big Momma's House 2,2006-01-27,4.9,56,John Whitesell,1 h 39 m,Comedy
Spawn,1997-08-01,8.0,333,Mark A.Z. Dippé,1 h 36 m,Action
"10,000 BC",2008-03-07,4.4,168,Roland Emmerich,1 h 49 m,Action
Knife Fight,2013-01-25,5.7,6,Bill Guttentag,1 h 40 m,Drama
Zoolander 2,2016-02-12,4.1,220,Ben Stiller,1 h 42 m,Action
Valentine's Day,2010-02-12,5.2,83,Garry Marshall,2 h 5 m,Comedy
All About the Benjamins,2002-03-08,6.1,10,Kevin Bray,1 h 35 m,Action
Snow Day,2000-02-11,7.9,67,Chris Koch,1 h 29 m,Adventure
21 and Over,2013-03-01,5.5,120,"Jon Lucas 
    
      Scott Moore",1 h 33 m,Comedy
Safe Haven,2013-02-14,5.8,92,Lasse Hallström,1 h 55 m,Drama
The Final Conflict,1981-03-20,5.6,20,Graham Baker,1 h 48 m,Horror
Ice Age: Collision Course,2016-07-22,5.2,445,"Michael Thurmeier 
    
      Galen T. Chu",1 h 34 m,Animation
1941,1979-12-14,6.0,27,Steven Spielberg,1 h 58 m,Action
The Real Cancun,2003-04-25,7.9,11,Rick de Oliveira,1 h 36 m,Documentary
Spice World,1998-01-23,3.3,86,Bob Spiers,1 h 33 m,Comedy
Undead,2005-07-01,5.8,9,"Michael Spierig 
    
      Peter Spierig",1 h 37 m,Action
The Crush,1993-04-02,7.1,7,Alan Shapiro,1 h 29 m,Crime
Ultrasuede: In Search of Halston,2012-01-20,5.2,6,Whitney Smith,Not Rated,Documentary
Erased,2013-05-17,5.7,26,Philipp Stölzl,1 h 40 m,Action
Eulogy,2004-10-15,5.3,7,Michael Clancy,1 h 31 m,Comedy
Elektra,2005-01-14,4.2,158,Rob Bowman,1 h 37 m,Action
American Son,2019-11-01,6.3,21,Kenny Leon,1 h 30 m,Drama
Scenic Route,2013-08-23,6.9,23,"Kevin Goetz 
    
      Michael Goetz",1 h 26 m,Drama
Mr. Destiny,1990-10-12,6.6,5,James Orr,1 h 50 m,Comedy
Vacation,2015-07-29,7.7,80,Harold Ramis,1 h 38 m,Adventure
Fatal Affair,2020-07-16,2.6,12,Peter Sullivan,1 h 29 m,Crime
The Lifeguard,2013-08-30,6.4,23,Liz W. Garcia,1 h 38 m,Drama
My Best Friend's Girl,2008-09-19,7.9,56,Howard Deutch,1 h 41 m,Comedy
Jonah Hex,2010-06-18,4.1,145,Jimmy Hayward,1 h 21 m,Action
Collateral Damage,2002-02-08,7.1,77,Andrew Davis,1 h 48 m,Action
Lara Croft: Tomb Raider,2001-06-15,5.8,249,Simon West,1 h 40 m,Action
Raise Your Voice,2004-10-08,5.8,33,Sean McNamara,1 h 43 m,Family
Equilibrium,2002-12-06,8.2,429,Kurt Wimmer,1 h 47 m,Action
Shadowboxer,2006-07-21,4.1,7,Lee Daniels,1 h 33 m,Action
Alvin and the Chipmunks: The Road Chip,2015-12-18,4.0,121,Walt Becker,1 h 32 m,Adventure
Soul Man,1986-10-24,7.2,5,Steve Miner,1 h 44 m,Comedy
The Glimmer Man,1996-10-04,4.8,6,John Gray,1 h 31 m,Action
Kidnapping Mr. Heineken,2015-03-06,5.5,26,Daniel Alfredson,1 h 35 m,Action
Grandma's Boy,2006-01-06,7.0,72,Nicholaus Goossen,1 h 34 m,Comedy
Looking Glass,2018-02-16,5.0,12,Tim Hunter,1 h 43 m,Mystery
The Grudge 2,2006-10-13,5.8,67,Takashi Shimizu,1 h 42 m,Horror
Chasing Papi,2003-04-16,3.5,4,Linda Mendoza,1 h 20 m,Comedy
The Christmas Candle,2013-11-22,7.5,4,John Stephenson,1 h 40 m,Drama
The Divergent Series: Allegiant,2016-03-18,4.3,302,Robert Schwentke,2 h,Action
American Renegades,2018-12-21,4.4,12,Steven Quale,1 h 46 m,Action
Despite the Falling Snow,2017-03-31,6.0,6,Shamim Sarif,1 h 33 m,Drama
Blood and Chocolate,2007-01-26,4.9,10,Katja von Garnier,1 h 38 m,Drama
The Only Living Boy in New York,2017-08-11,4.8,22,Marc Webb,1 h 29 m,Drama
Detroit Rock City,1999-08-13,8.1,66,Adam Rifkin,1 h 35 m,Adventure
Bedtime Stories,2008-12-25,6.5,126,Adam Shankman,1 h 39 m,Adventure
House of D,2005-04-15,7.1,8,David Duchovny,1 h 37 m,Comedy
Welcome to Mooseport,2004-02-20,4.7,12,Donald Petrie,1 h 50 m,Comedy
Virginia,2012-05-18,6.5,4,Dustin Lance Black,1 h 56 m,Drama
My Favorite Martian,1999-02-12,5.5,6,Donald Petrie,1 h 34 m,Comedy
Five Nights at Freddy's,2023-10-27,7.9,1740,Emma Tammi,1 h 49 m,Horror
Programming the Nation?,2011-08-19,6.3,4,Jeff Warrick,1 h 45 m,Documentary
Class,1983-07-22,7.0,5,Lewis John Carlino,1 h 38 m,Comedy
Air America,1990-08-10,6.8,28,Roger Spottiswoode,1 h 53 m,Action
Friday the 13th: The Final Chapter,1984-04-13,7.1,98,Joseph Zito,1 h 31 m,Horror
War of the Worlds: Goliath,2014-03-07,5.1,15,Joe Pearson,1 h 25 m,Animation
Son of the Pink Panther,1993-08-27,2.8,5,Blake Edwards,1 h 33 m,Comedy
Outcast,2015-02-06,4.0,29,Nick Powell,1 h 39 m,Action
Chill Factor,1999-09-01,1.7,22,Hugh Johnson,1 h 42 m,Action
Free the Nipple,2014-12-12,4.0,10,Lina Esco,1 h 24 m,Comedy
The Hero of Color City,2014-10-03,3.3,8,Frank Gladstone,1 h 17 m,Animation
Gulliver's Travels,2010-12-25,4.6,119,Rob Letterman,1 h 25 m,Adventure
Collide,2017-02-24,8.1,123,Eran Creevy,1 h 39 m,Action
Police Academy 3: Back in Training,1986-03-21,6.2,28,Jerry Paris,1 h 23 m,Comedy
On Deadly Ground,1994-02-18,6.5,10,Steven Seagal,1 h 41 m,Action
Sucker Punch,2011-03-25,6.7,1100,Zack Snyder,2 h,Action
The Wrong Missy,2020-05-13,4.7,62,Tyler Spindel,1 h 30 m,Comedy
The Baytown Outlaws,2013-01-11,7.0,22,Barry Battles,1 h 38 m,Action
There Be Dragons,2011-05-06,8.1,19,Roland Joffé,2 h,Biography
Love Happens,2009-09-18,5.8,18,Brandon Camp,1 h 49 m,Drama
Colonia,2016-04-15,7.1,67,Florian Gallenberger,1 h 50 m,Biography
Catch That Kid,2004-02-06,5.2,18,Bart Freundlich,1 h 31 m,Action
The Space Between Us,2017-02-03,5.2,87,Peter Chelsom,2 h,Drama
Let It Ride,1989-08-18,7.7,7,Joe Pytka,1 h 30 m,Comedy
The Young Messiah,2016-03-11,5.4,25,Cyrus Nowrasteh,1 h 51 m,Drama
Amnesiac,2015-08-14,4.3,4,Michael Polish,1 h 30 m,Drama
Skinwalkers,2007-08-10,5.5,12,James Isaac,1 h 50 m,Action
The Last Song,2010-03-31,5.6,119,Julie Anne Robinson,1 h 47 m,Drama
Out of the Dark,2015-02-27,3.3,10,Lluís Quílez,1 h 32 m,Horror
The Amityville Horror,2005-04-15,7.9,214,Andrew Douglas,1 h 30 m,Horror
The Amityville Horror,1979-07-27,7.9,214,Andrew Douglas,1 h 30 m,Horror
Superhero Movie,2008-03-28,6.4,118,Craig Mazin,1 h 15 m,Action
The Battle of Shaker Heights,2003-08-22,3.2,13,"Efram Potelle 
    
      Kyle Rankin",1 h 19 m,Comedy
Uptown Girls,2003-08-15,8.0,175,Boaz Yakin,1 h 32 m,Comedy
Original Sin,2001-08-03,7.4,42,Michael Cristofer,1 h 56 m,Crime
Impostor,2002-01-04,7.6,15,Gary Fleder,1 h 35 m,Drama
Mindhunters,2005-05-13,8.0,76,Renny Harlin,1 h 46 m,Crime
Son in Law,1993-07-02,7.8,6,Steve Rash,1 h 35 m,Comedy
Fifty Shades Darker,2017-02-10,3.1,276,James Foley,1 h 58 m,Drama
Just Go with It,2011-02-11,6.4,255,Dennis Dugan,1 h 57 m,Comedy
Hanging Up,2000-02-18,6.4,14,Diane Keaton,1 h 34 m,Comedy
Very Annie Mary,2002-03-22,4.0,10,Sara Sugarman,1 h 44 m,Comedy
Trash Humpers,2010-05-07,6.1,12,Harmony Korine,1 h 18 m,Comedy
Elite Squad,2008-09-19,8.0,190,José Padilha,1 h 55 m,Action
Thinner,1996-10-25,7.4,57,Tom Holland,1 h 33 m,Fantasy
The Human Centipede (First Sequence),2010-04-28,4.1,219,Tom Six,1 h 32 m,Horror
Code Name: The Cleaner,2007-01-05,5.1,14,Les Mayfield,1 h 24 m,Action
About Cherry,2012-09-21,5.2,19,Stephen Elliott,1 h 42 m,Drama
Dear Wendy,2005-09-23,5.2,9,Thomas Vinterberg,1 h 45 m,Comedy
After Earth,2013-05-31,3.8,668,M. Night Shyamalan,1 h 40 m,Action
Class of 1999,1990-05-11,5.6,8,Mark L. Lester,1 h 39 m,Action
Dragon Wars: D-War,2007-09-14,2.8,39,Hyung-rae Shim,1 h 30 m,Action
The Haunting in Connecticut,2009-03-27,6.1,74,Peter Cornwell,1 h 32 m,Drama
Big Momma's House,2000-06-02,5.9,83,Raja Gosnell,1 h 38 m,Action
The Out-of-Towners,1999-04-02,7.4,17,Sam Weisman,1 h 30 m,Comedy
The Wedding Planner,2001-01-26,8.0,147,Adam Shankman,1 h 43 m,Comedy
Very Bad Things,1998-11-25,1.4,151,Peter Berg,1 h 40 m,Comedy
The Mortal Instruments: City of Bones,2013-08-21,6.2,332,Harald Zwart,2 h 10 m,Action
The Man,2005-09-09,8.2,48,Les Mayfield,1 h 23 m,Action
The Dukes of Hazzard,2005-08-05,5.7,38,Jay Chandrasekhar,1 h 44 m,Comedy
Jade,1995-10-13,8.0,6,William Friedkin,1 h 35 m,Crime
Haunt,2014-03-07,4.9,17,Mac Carter,1 h 26 m,Horror
The 5th Wave,2016-01-22,5.3,350,J Blakeson,1 h 52 m,Action
Soul Plane,2004-05-28,8.4,144,Jessy Terrero,1 h 26 m,Comedy
I Dreamed of Africa,2000-05-05,7.0,12,Hugh Hudson,1 h 54 m,Adventure
54,1998-08-28,2.9,61,Mark Christopher,1 h 33 m,Drama
Sleepover,2004-07-09,4.1,14,Joe Nussbaum,1 h 29 m,Comedy
Confessions of a Teenage Drama Queen,2004-02-20,6.4,28,Sara Sugarman,1 h 29 m,Comedy
New York Minute,2004-05-07,5.0,16,Dennie Gordon,1 h 31 m,Adventure
Jenny's Wedding,2015-07-31,5.6,16,Mary Agnes Donoghue,1 h 34 m,Comedy
Cat Run,2011-04-01,4.8,15,John Stockwell,1 h 42 m,Action
Being Human,1994-05-06,7.0,4,Bill Forsyth,2 h 2 m,Comedy
The Longest Ride,2015-04-10,5.3,80,George Tillman Jr.,2 h 19 m,Comedy
Like a Boss,2020-01-10,3.4,43,Miguel Arteta,1 h 23 m,Comedy
Can't Stand Losing You: Surviving the Police,2015-03-20,5.5,6,"Andy Grieve 
    
      Lauren Lazin",1 h 19 m,Documentary
God's Not Dead: A Light in Darkness,2018-03-30,3.6,43,Michael Mason,1 h 45 m,Drama
The Punisher,2004-04-16,8.0,706,Jonathan Hensleigh,2 h 4 m,Action
High School High,1996-10-25,7.1,9,Hart Bochner,1 h 26 m,Comedy
The Shack,2017-03-03,5.6,68,Stuart Hazeldine,2 h 12 m,Drama
The Fan,1996-08-16,1.5,112,Tony Scott,1 h 56 m,Action
Euphoria,2019-06-28,5.5,12,Lisa Langseth,1 h 44 m,Adventure
The Wedding Date,2005-02-04,5.6,20,Clare Kilner,1 h 30 m,Comedy
The Undefeated,2011-07-15,2.6,38,Steve Bannon,1 h 59 m,Documentary
The Brothers Solomon,2007-09-07,8.2,36,Bob Odenkirk,1 h 33 m,Comedy
The Ex,2007-05-11,7.8,52,Jesse Peretz,1 h 29 m,Comedy
October Baby,2012-03-23,6.3,21,"Andrew Erwin 
    
      Jon Erwin",1 h 47 m,Drama
Regression,2016-02-05,5.4,86,Alejandro Amenábar,1 h 46 m,Crime
It's All About Love,2004-10-29,2.8,4,Thomas Vinterberg,1 h 44 m,Drama
Kill by Inches,2001-10-26,3.2,6,"Diane Doniol-Valcroze 
    
      Arthur K. Flam",1 h 20 m,Horror
The Sweetest Thing,2002-04-12,5.2,22,Roger Kumble,1 h 28 m,Comedy
Not Another Teen Movie,2001-12-14,6.5,84,Joel Gallen,1 h 29 m,Comedy
Transformers: Age Of Extinction,2014-06-27,4.5,1182,Michael Bay,2 h 45 m,Action
Legion,2010-01-22,5.1,147,Scott Stewart,1 h 40 m,Action
The Girl in the Photographs,2016-04-01,4.2,6,Nick Simon,1 h 35 m,Crime
Ride Along 2,2016-01-15,4.6,104,Tim Story,1 h 42 m,Action
Chapter 27,2008-03-28,5.6,16,J.P. Schaefer,1 h 24 m,Biography
Redeeming Love,2022-01-21,4.3,26,D.J. Caruso,2 h 14 m,Drama
UHF,1989-07-21,8.0,45,Jay Levey,1 h 37 m,Comedy
Play It to the Bone,1999-12-25,5.5,23,Ron Shelton,2 h 4 m,Comedy
Down to Earth,2001-02-16,8.2,101,"Chris Weitz 
    
      Paul Weitz",1 h 27 m,Comedy
Primal,2019-11-08,4.1,15,Nick Powell,1 h 37 m,Action
"I Love You, Beth Cooper",2009-07-10,8.9,96,Chris Columbus,1 h 42 m,Adventure
The Hills Have Eyes II,2007-03-23,5.7,70,Martin Weisz,1 h 29 m,Horror
Paranoia,2013-08-16,4.2,66,Robert Luketic,1 h 46 m,Drama
Scouts Guide to the Zombie Apocalypse,2015-10-30,7.5,192,Christopher Landon,1 h 33 m,Action
Independence Day: Resurgence,2016-06-24,4.5,645,Roland Emmerich,2 h,Action
G.I. Joe: The Rise of Cobra,2009-08-07,5.2,196,Stephen Sommers,1 h 58 m,Action
Carlos Castaneda: Enigma of a Sorcerer,2004-06-02,5.8,4,Ralph Torjan,1 h 31 m,Documentary
Masked and Anonymous,2003-07-24,7.8,6,Larry Charles,1 h 52 m,Comedy
The Santa Clause 3: The Escape Clause,2006-11-03,4.5,59,Michael Lembeck,1 h 37 m,Adventure
The Hitcher,1986-02-21,7.4,82,Dave Meyers,1 h 24 m,Crime
The Hitcher,2007-01-19,7.4,82,Dave Meyers,1 h 24 m,Crime
Warcraft,2016-06-10,8.1,3127,Duncan Jones,2 h 3 m,Action
Addicted,2014-10-10,2.5,27,Bille Woodruff,1 h 46 m,Drama
Cats,2019-12-20,5.2,581,Tom Hooper,1 h 50 m,Comedy
The Scribbler,2014-09-19,7.9,8,John Suits,1 h 28 m,Mystery
Agent Cody Banks 2: Destination London,2004-03-12,4.4,41,Kevin Allen,1 h 40 m,Action
Beyond Borders,2003-10-24,5.6,19,Martin Campbell,2 h 7 m,Adventure
Careful What You Wish For,2016-06-10,3.2,16,Elizabeth Allen Rosenbaum,1 h 31 m,Drama
Cassadaga,2013-10-11,3.4,5,Anthony DiBlasi,1 h 48 m,Horror
Every Breath You Take,2021-04-02,5.1,11,Vaughn Stein,1 h 45 m,Drama
Land of the Lost,2009-06-05,5.1,103,Brad Silberling,1 h 42 m,Action
The Oogieloves in the Big Balloon Adventure,2012-08-29,7.2,116,Matthew Diamond,1 h 28 m,Adventure
Girl on a Bicycle,2014-02-14,6.8,9,Jeremy Leven,1 h 41 m,Comedy
Sinister 2,2015-08-21,5.8,183,Ciarán Foy,1 h 37 m,Horror
Swordfish,2001-06-08,7.3,198,Dominic Sena,1 h 39 m,Action
Plastic,2014-09-26,3.8,6,Julian Gilbey,1 h 42 m,Action
King Kong Lives,1986-12-19,2.3,4,"John Guillermin 
    
      Charles McCracken",1 h 45 m,Action
Love Again,2023-05-05,5.2,29,Jim Strouse,1 h 44 m,Comedy
The Unbelievers,2013-11-29,6.3,46,Gus Holwerda,1 h 17 m,Documentary
The Forger,2015-04-24,6.8,36,Philip Martin,1 h 32 m,Crime
Brightest Star,2014-01-31,6.0,4,Maggie Kiley,1 h 20 m,Comedy
Crime and Punishment in Suburbia,2000-09-15,4.3,6,Rob Schmidt,1 h 40 m,Drama
Someone Like You...,2001-03-30,7.9,43,Tony Goldwyn,1 h 37 m,Comedy
The Transporter Refueled,2015-09-04,6.9,175,Camille Delamarre,1 h 36 m,Action
Troop Beverly Hills,1989-03-24,9.7,308,Jeff Kanew,1 h 45 m,Adventure
Wish Upon,2017-07-14,8.7,507,John R. Leonetti,1 h 30 m,Drama
Broken Bridges,2006-09-08,8.5,23,Steven Goldmann,1 h 45 m,Drama
Night at the Golden Eagle,2002-04-26,8.4,22,Adam Rifkin,1 h 27 m,Drama
The Secret: Dare to Dream,2020-07-31,9.5,375,Andy Tennant,1 h 47 m,Drama
The Kindness of Strangers,2020-02-14,9.1,27,Lone Scherfig,1 h 52 m,Drama
